,,,,
BestMovieByYear,index,SERIAL,,
,TITLE,VARCHAR(200),,
,RELEASE_YEAR,SMALLINT,,
,SCORE,"NUMERIC(2,1)",,
,MAIN_GENRE,VARCHAR(200),,
,MAIN_PRODUCTION,VARCHAR(20),,
,,,,
BEST_MOVIES,index,SERIAL,,
,TITLE,VARCHAR(200),,
,RELEASE_YEAR,SMALLINT,,
,SCORE,"NUMERIC(2,1)",,
,NUMBER_OF_VOTES,BIGINT,,
,DURATION,SMALLINT,,
,MAIN_GENRE,VARCHAR(200),,
,MAIN_PRODUCTION,VARCHAR(20),,
,,,,
BEST_SHOW_BY_YEAR,index,SERIAL,,
,TITLE,VARCHAR(200),,
,RELEASE_YEAR,SMALLINT,,
,SCORE,"NUMERIC(2,1)",,
,NUMBER_OF_SEASONS,SMALLINT,,
,MAIN_GENRE,VARCHAR(200),,
,MAIN_PRODUCTION,VARCHAR(20),,
,,,,
BEST_SHOWS,index,SERIAL,,
,TITLE,VARCHAR(200),,
,RELEASE_YEAR,SMALLINT,,
,SCORE,"NUMERIC(2,1)",,
,NUMBER_OF_VOTES,BIGINT,,
,DURATION,SMALLINT,,
,NUMBER_OF_SEASONS,SMALLINT,,
,MAIN_GENRE,VARCHAR(200),,
,MAIN_PRODUCTION,VARCHAR(20),,
,,,,
RAW_CREDITS,index,SERIAL,,
,person_id,SMALLINT,PK,
,id,VARCHAR(20),,
,name,VARCHAR(100),,
,character,VARCHAR,,
,role,VARCHAR(20),,
,,,,
RAW_TITLES,index,SERIAL,,
,id,VARCHAR(20),,
,title,VARCHAR(200),,
,type,VARCHAR(20),,
,release_year,SMALLINT,,
,age_certification,VARCHAR(10),,
,runtime,SMALLINT,,
,genres,VARCHAR[],,
,production_countries,VARCHAR[],,
,seasons,"NUMERIC(2,1)",,
,imdb_id,VARCHAR(20),,
,imdb_score,"NUMERIC(2,1)",,
,imdb_votes,"NUMERIC(15,1)",,
